locale,group,key,value,unicodeCodePoints,utf8Bytes,basis
"es-419","names","Lens Size","Tamaño del objetivo","19","20","review-required"
"es-419","names","X","Posición horizontal","19","20","review-required"
"es-419","names","Depth Mode","Modo de profundidad","19","19","review-required"
"es-419","names","Zone Softness","Suavidad de la zona","19","19","review-required"
"es-419","names","Rotate With Avatar","Girar con el avatar","19","19","review-required"
"es-419","names","Show Path","Mostrar trayectoria","19","19","review-required"
"es-419","dynamic","FisheyeCenterX","Posición horizontal","19","20","review-required"
"es-ES","names","Look Down","Apuntar hacia abajo","19","19","review-required"
"es-ES","names","Hide Lens","Ocultar el objetivo","19","19","review-required"
"es-ES","names","Increase","Cerrar el diafragma","19","19","canon-adapted"
"es-ES","names","AF Lock","Bloquear el enfoque","19","19","review-required"
"es-ES","names","Avatar Priority","Prioridad al avatar","19","19","review-required"
"es-ES","names","Fisheye Lens","Objetivo ojo de pez","19","19","review-required"
"es-ES","names","Lens Size","Tamaño del objetivo","19","20","review-required"
"es-ES","names","X","Posición horizontal","19","20","review-required"
"es-ES","names","Depth Mode","Modo de profundidad","19","19","review-required"
"es-ES","names","Zone Softness","Suavidad de la zona","19","19","review-required"
"es-ES","names","Rotate With Avatar","Girar con el avatar","19","19","review-required"
"es-ES","names","Show Path","Mostrar trayectoria","19","19","review-required"
"es-ES","dynamic","FisheyeCenterX","Posición horizontal","19","20","review-required"
"fi-FI","names","Auto Focus","Automaattitarkennus","19","19","canon-adapted"
"fi-FI","names","V. Horizon","Sähköinen vesivaaka","19","21","canon-adapted"
"fi-FI","names","Tilt-Shift","Kallistus ja siirto","19","19","review-required"
"fi-FI","featureBlanks","129","Suuntaa hieman ylös","19","20","dictionary-candidate"
"fi-FI","featureBlanks","130","Suuntaa hieman alas","19","19","dictionary-candidate"
"fr-FR","names","DoF Mode","Profondeur de champ","19","19","canon-adapted"
"fr-FR","names","V. Horizon","Niveau électronique","19","20","canon-adapted"
"fr-FR","names","Operation","Opération autofocus","19","20","canon-exact"
"fr-FR","names","AF-ON","Activer l'autofocus","19","19","dictionary-candidate"
"fr-FR","names","Avatar Priority","Priorité à l'avatar","19","21","dictionary-candidate"
"fr-FR","names","2.35:1 Anamorphic","2.35:1 Anamorphique","19","19","dictionary-candidate"
"fr-FR","names","Playback","Position de lecture","19","19","dictionary-candidate"
"fr-FR","names","Hand Offset","Décalage de la main","19","20","dictionary-candidate"
"fr-FR","names","Vertical","Vertical uniquement","19","19","dictionary-candidate"
"hu-HU","names","Track Self...","Önmagam követése...","19","22","review-required"
"hu-HU","names","Track Pivot","Forgáspont követése","19","22","review-required"
"hu-HU","names","Vertical Lock","Függőleges rögzítés","19","24","dictionary-candidate"
"hu-HU","names","Custom","Kiegészítő funkciók","19","23","review-required"
"hu-HU","dynamic","WorldDrop","Rögzítés a világban","19","23","review-required"
"hu-HU","featureBlanks","117","Közel felé: közepes","19","22","canon-adapted"
"it-IT","names","Increase","Chiudi il diaframma","19","19","canon-adapted"
"it-IT","names","DoF Mode","Profondità di campo","19","20","canon-adapted"
"it-IT","names","V. Horizon","Livella elettronica","19","19","canon-adapted"
"it-IT","names","Change Angle","Cambia orientamento","19","19","dictionary-candidate"
"it-IT","names","Smoothing","Inseguimento fluido","19","19","dictionary-candidate"
"it-IT","names","Operation","Funzionamento di AF","19","19","canon-exact"
"it-IT","names","Custom","Funzioni aggiuntive","19","19","dictionary-candidate"
"it-IT","names","Y","Posizione verticale","19","19","dictionary-candidate"
"it-IT","names","3:2 DSLR","3:2 Reflex digitale","19","19","dictionary-candidate"
"it-IT","names","Depth Mode","Modalità profondità","19","21","dictionary-candidate"
"it-IT","dynamic","CameraPinDrop","Posiziona marcatore","19","19","dictionary-candidate"
"it-IT","dynamic","FisheyeCenterY","Posizione verticale","19","19","dictionary-candidate"
"it-IT","featureBlanks","117","Verso vicino: medio","19","19","canon-adapted"
"it-IT","sensorBlanks","0","Pieno formato 35 mm","19","19","review-required"
"it-IT","sensorBlanks","4","Micro quattro terzi","19","19","review-required"
"nb-NO","names","Playback","Avspillingsposisjon","19","19","review-required"
"nl-NL","names","Hand-Rotate","Met de hand draaien","19","19","dictionary-candidate"
"nl-NL","names","Change Angle","Oriëntatie wijzigen","19","20","dictionary-candidate"
"nl-NL","names","X","Horizontale positie","19","19","dictionary-candidate"
"nl-NL","dynamic","FisheyeCenterX","Horizontale positie","19","19","dictionary-candidate"
"nl-NL","dynamic","ZoomOutSpeed4","Groothoeksnelheid 4","19","19","review-required"
"nl-NL","featureBlanks","100","Groothoeksnelheid 1","19","19","review-required"
"nl-NL","featureBlanks","101","Groothoeksnelheid 2","19","19","review-required"
"nl-NL","featureBlanks","102","Groothoeksnelheid 3","19","19","review-required"
"nl-NL","featureBlanks","129","Iets omhoog richten","19","19","dictionary-candidate"
"nl-NL","featureBlanks","130","Iets omlaag richten","19","19","dictionary-candidate"
"nn-NO","names","Servo AF","Følgjande autofokus","19","20","review-required"
"nn-NO","names","Hide Remote Players","Gøym andre spelarar","19","20","dictionary-composition"
"pl-PL","names","Stabilize","Stabilizator obrazu","19","19","canon-exact"
"pl-PL","names","Increase","Przymknij przysłonę","19","21","canon-adapted"
"pl-PL","names","Drop Pivot","Umieść punkt obrotu","19","21","review-required"
"pl-PL","names","Temperature","Temperatura barwowa","19","19","canon-exact"
"pl-PL","names","Reverse Fisheye","Odwrócone rybie oko","19","20","review-required"
"pl-PL","names","2.35:1 Anamorphic","2.35:1 Anamorficzny","19","19","review-required"
"pl-PL","names","Focus Distance","Odległość ostrzenia","19","22","review-required"
"pl-PL","names","Hide Remote Players","Ukryj innych graczy","19","19","review-required"
"pl-PL","names","Playback","Pozycja odtwarzania","19","19","review-required"
"pl-PL","dynamic","WorldDrop","Zakotwicz w świecie","19","20","review-required"
"pl-PL","featureBlanks","130","Skieruj lekko w dół","19","21","review-required"
"pt-PT","names","Portrait","Orientação vertical","19","21","dictionary-candidate"
"pt-PT","names","Look At Feet","Apontar para os pés","19","20","dictionary-candidate"
"pt-PT","names","Drone Speed","Velocidade do drone","19","19","dictionary-candidate"
"pt-PT","names","Smoothing","Suavizar seguimento","19","19","dictionary-candidate"
"pt-PT","names","Chromatic Aberration","Aberração cromática","19","22","canon-adapted"
"pt-PT","names","Axial Focus-Aware","Associada à focagem","19","20","dictionary-candidate"
"pt-PT","names","Lens Size","Tamanho da objetiva","19","19","dictionary-candidate"
"pt-PT","names","Tilt-Shift","Inclinação e desvio","19","21","dictionary-candidate"
"pt-PT","names","Peaking","Realce de contornos","19","19","canon-adapted"
"pt-PT","featureBlanks","118","Para perto: pequeno","19","19","canon-adapted"
"pt-PT","sensorBlanks","4","Micro Quatro Terços","19","20","review-required"
"ro-RO","names","Portrait","Orientare verticală","19","20","dictionary-candidate"
"ro-RO","names","Depth Cute","Profunzime delicată","19","20","dictionary-candidate"
"ro-RO","names","Look At Face","Orientare spre față","19","21","dictionary-candidate"
"ro-RO","names","Track Self...","Urmărire proprie...","19","20","dictionary-candidate"
"ro-RO","names","Auto Focus","Focalizare automată","19","20","canon-adapted"
"ro-RO","names","Increase","Închidere diafragmă","19","21","canon-adapted"
"ro-RO","names","Av Dial","Valoarea diafragmei","19","19","canon-exact"
"ro-RO","names","Change Angle","Schimbare orientare","19","19","dictionary-candidate"
"ro-RO","names","Color Grading","Gradare a culorilor","19","19","dictionary-candidate"
"ro-RO","names","Temperature","Temperatura culorii","19","19","canon-adapted"
"ro-RO","names","Depth Fog","Ceață de profunzime","19","21","dictionary-candidate"
"ro-RO","names","Start Distance","Distanță de început","19","22","dictionary-candidate"
"ro-RO","names","Lens Size","Dimensiune obiectiv","19","19","dictionary-candidate"
"ro-RO","names","Zoom Blur","Estompare prin zoom","19","19","dictionary-candidate"
"ro-RO","names","Go To Pin","Deplasare la marcaj","19","19","dictionary-candidate"
"ro-RO","dynamic","ZoomOutSpeed4","Viteză unghi larg 4","19","20","dictionary-candidate"
"ro-RO","featureBlanks","100","Viteză unghi larg 1","19","20","dictionary-candidate"
"ro-RO","featureBlanks","101","Viteză unghi larg 2","19","20","dictionary-candidate"
"ro-RO","featureBlanks","102","Viteză unghi larg 3","19","20","dictionary-candidate"
"ro-RO","featureBlanks","117","Spre aproape: mediu","19","19","canon-adapted"
"ro-RO","featureBlanks","121","Spre infinit: mediu","19","19","canon-adapted"
"ru-RU","names","Look At Feet","Направить на ступни","19","36","dictionary-candidate"
"ru-RU","names","Track Self...","Следить за собой...","19","33","dictionary-candidate"
"ru-RU","names","V. Horizon","Электронный уровень","19","37","canon-adapted"
"ru-RU","names","Focus Peaking","Выделение цветом MF","19","34","canon-exact"
"ru-RU","names","Change Angle","Изменить ориентацию","19","37","dictionary-candidate"
"ru-RU","names","AF Lock","Зафиксировать фокус","19","37","dictionary-candidate"
"ru-RU","names","Start Distance","Начальная дистанция","19","37","dictionary-candidate"
"ru-RU","names","16:9 Widescreen","16:9 Широкоэкранный","19","33","review-required"
"ru-RU","names","Dolly","Движение на тележке","19","36","review-required"
"ru-RU","names","Show Path","Показать траекторию","19","37","dictionary-candidate"
"ru-RU","names","Move","Переместить вручную","19","37","dictionary-candidate"
"ru-RU","names","Hand Rotate (Pins)","Вращать метки рукой","19","36","dictionary-candidate"
"ru-RU","names","Vertical","Только по вертикали","19","36","dictionary-candidate"
"sv-SE","names","Portrait","Stående orientering","19","20","dictionary-candidate"
"sv-SE","names","Avatar AF","Autofokus på avatar","19","20","dictionary-candidate"
"sv-SE","names","Pro Autofocus","Avancerad autofokus","19","19","dictionary-candidate"
"sv-SE","names","Response","Följningskänslighet","19","21","canon-adapted"
"sv-SE","featureBlanks","121","Mot oändligt: medel","19","20","canon-adapted"
"th-TH","names","AF-ON","เริ่มโฟกัสอัตโนมัติ","19","57","review-required"
"th-TH","names","Axial CA","ความคลาดสีตามแนวแกน","19","57","review-required"
"th-TH","names","Preset Saver","บันทึกค่าที่ตั้งไว้","19","57","review-required"
"th-TH","featureBlanks","108","ชดเชยแสง −1/3 สต็อป","19","47","canon-adapted"
"th-TH","featureBlanks","110","ชดเชยแสง +1/3 สต็อป","19","45","canon-adapted"
"tr-TR","names","Stabilize","Görüntü Sabitleyici","19","22","canon-exact"
"tr-TR","names","Track Self...","Kendini takip et...","19","19","dictionary-candidate"
"tr-TR","names","Far Clip Plane","Uzak kırpma düzlemi","19","21","dictionary-candidate"
"tr-TR","names","Axial CA","Boyuna renk sapması","19","20","dictionary-candidate"
"tr-TR","names","Color Grading","Renk derecelendirme","19","19","dictionary-candidate"
"tr-TR","names","Manual Focus Assist","Manuel odak yardımı","19","21","dictionary-candidate"
"tr-TR","names","Preset Saver","Hazır ayar kaydetme","19","20","review-required"
"tr-TR","featureBlanks","118","Yakına doğru: küçük","19","24","canon-adapted"
"tr-TR","featureBlanks","121","Sonsuza doğru: orta","19","20","canon-adapted"
"uk-UA","names","Track Self...","Стежити за собою...","19","33","review-required"
"uk-UA","names","EV Dial","Корекція експозиції","19","37","canon-exact"
"uk-UA","names","Response","Чутливість стеження","19","37","canon-exact"
"uk-UA","names","Chromatic Aberration","Хроматична аберація","19","37","canon-adapted"
"uk-UA","names","Temperature","Колірна температура","19","37","canon-exact"
"uk-UA","names","Edge Softness","Розтушовування краю","19","37","review-required"
"uk-UA","names","16:9 Widescreen","16:9 Широкоекранний","19","33","review-required"
"uk-UA","names","Edge Feather","Розтушовування краю","19","37","review-required"
"uk-UA","names","Show Path","Показати траєкторію","19","37","review-required"
"uk-UA","names","Playback","Позиція відтворення","19","37","review-required"
"uk-UA","dynamic","VignetteSoftness","Розтушовування краю","19","37","review-required"
"bg-BG","names","Show/Hide","Показване/Скриване","18","35","review-required"
"bg-BG","names","Track Self","Следене на себе си","18","33","review-required"
"bg-BG","names","Move HUD","Преместване на HUD","18","31","review-required"
"bg-BG","names","Focus Guide","Ориентир за фокуса","18","34","canon-exact"
"bg-BG","names","Depth Fog","Мъгла по дълбочина","18","34","review-required"
"bg-BG","names","Start Distance","Начално разстояние","18","35","dictionary-candidate"
"bg-BG","names","Film Grain","Филмова зърнистост","18","35","review-required"
"bg-BG","names","Lens Size","Размер на обектива","18","34","dictionary-candidate"
"bg-BG","names","Y","Вертикална позиция","18","35","dictionary-candidate"
"bg-BG","names","16:9 Widescreen","16:9 Широкоекранен","18","31","review-required"
"bg-BG","names","Depth Mode","Режим на дълбочина","18","34","review-required"
"bg-BG","names","Focus Zone","Зона на фокусиране","18","34","review-required"
"bg-BG","names","Dolly","Движение с количка","18","34","dictionary-candidate"
"bg-BG","dynamic","WorldDrop","Закрепване в света","18","34","review-required"
"bg-BG","dynamic","FisheyeCenterY","Вертикална позиция","18","35","dictionary-candidate"
"bg-BG","featureBlanks","117","Към близко: средно","18","33","canon-adapted"
"cs-CZ","names","Portrait","Orientace na výšku","18","20","dictionary-candidate"
"cs-CZ","names","Look At Face","Namířit na obličej","18","21","dictionary-candidate"
"cs-CZ","names","Picture Style","Styl Picture Style","18","18","canon-adapted"
"cs-CZ","names","Smoothing","Vyhladit sledování","18","20","review-required"
"cs-CZ","names","Drop Pivot","Umístit otočný bod","18","21","dictionary-candidate"
"cs-CZ","names","Move Focus","Posunout zaostření","18","20","dictionary-candidate"
"cs-CZ","names","AF Lock","Zamknout zaostření","18","20","dictionary-candidate"
"cs-CZ","names","Lens Size","Velikost objektivu","18","18","dictionary-candidate"
"cs-CZ","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"cs-CZ","names","Preset Saver","Ukládání předvoleb","18","22","review-required"
"cs-CZ","featureBlanks","130","Namířit mírně dolů","18","23","dictionary-candidate"
"da-DK","names","Stabilize","Billedstabilisator","18","18","canon-exact"
"da-DK","names","Avatar-Drop","Fastgør til avatar","18","19","review-required"
"da-DK","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"da-DK","names","Drop (Reset to Hand)","Tilbage til hånden","18","19","dictionary-candidate"
"da-DK","names","Reset to Hand","Tilbage til hånden","18","19","dictionary-candidate"
"da-DK","names","Smooth","Punktinterpolation","18","18","review-required"
"de-DE","names","Depth Cool","Kühle Tiefenfarben","18","19","dictionary-candidate"
"de-DE","names","Green Back","Grüner Hintergrund","18","19","dictionary-candidate"
"de-DE","names","Blue Back","Blauer Hintergrund","18","18","dictionary-candidate"
"de-DE","names","Look Down","Nach unten richten","18","18","dictionary-candidate"
"de-DE","names","Avatar-Drop","Am Avatar fixieren","18","18","dictionary-candidate"
"de-DE","names","Mount Swap","Halterung wechseln","18","18","dictionary-candidate"
"de-DE","names","Change Angle","Ausrichtung ändern","18","19","dictionary-candidate"
"de-DE","names","Drive Speed","AF-Geschwindigkeit","18","18","canon-exact"
"de-DE","names","Far Clip Plane","Ferne Schnittebene","18","18","dictionary-candidate"
"de-DE","names","Y","Vertikale Position","18","18","dictionary-candidate"
"de-DE","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"de-DE","names","Play","Wiedergabe starten","18","18","canon-adapted"
"de-DE","names","Playback","Wiedergabeposition","18","18","review-required"
"de-DE","names","Smooth","Punktinterpolation","18","18","review-required"
"de-DE","names","Preset Saver","Vorgaben speichern","18","18","dictionary-candidate"
"de-DE","dynamic","FisheyeCenterY","Vertikale Position","18","18","dictionary-candidate"
"el-GR","names","Move Camera","Μετακίνηση κάμερας","18","35","review-required"
"el-GR","names","Reverse Fisheye","Αντίστροφο fisheye","18","28","review-required"
"el-GR","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"el-GR","names","Drop (Reset to Hand)","Επιστροφή στο χέρι","18","34","dictionary-candidate"
"el-GR","names","Reset to Hand","Επιστροφή στο χέρι","18","34","dictionary-candidate"
"el-GR","names","Show Path","Εμφάνιση διαδρομής","18","35","dictionary-candidate"
"el-GR","dynamic","CameraPinDrop","Τοποθέτηση σημείου","18","35","review-required"
"es-419","names","Look At Feet","Apuntar a los pies","18","18","review-required"
"es-419","names","Auto Focus","Enfoque automático","18","19","canon-adapted"
"es-419","names","Mount Swap","Cambiar el soporte","18","18","review-required"
"es-419","names","Decrease","Abrir el diafragma","18","18","canon-adapted"
"es-419","names","Drone Speed","Velocidad del dron","18","18","review-required"
"es-419","names","White Bal.","Balance de blancos","18","18","canon-exact"
"es-419","names","Locked-on","Mantener el sujeto","18","18","canon-adapted"
"es-419","names","Color Grading","Gradación de color","18","19","adobe-exact"
"es-419","names","Reverse Fisheye","Ojo de pez inverso","18","18","review-required"
"es-419","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"es-419","names","3:2 DSLR","3:2 Réflex digital","18","19","review-required"
"es-419","names","Zoom Blur","Desenfoque de zoom","18","18","review-required"
"es-419","names","Peaking","Resalte de enfoque","18","18","canon-adapted"
"es-419","names","Show Pins","Mostrar marcadores","18","18","review-required"
"es-419","featureBlanks","117","Hacia cerca: medio","18","18","canon-adapted"
"es-ES","names","Look At Feet","Apuntar a los pies","18","18","review-required"
"es-ES","names","Auto Focus","Enfoque automático","18","19","canon-adapted"
"es-ES","names","Mount Swap","Cambiar el soporte","18","18","review-required"
"es-ES","names","Decrease","Abrir el diafragma","18","18","canon-adapted"
"es-ES","names","Drone Speed","Velocidad del dron","18","18","review-required"
"es-ES","names","White Bal.","Balance de blancos","18","18","canon-exact"
"es-ES","names","Locked-on","Mantener el sujeto","18","18","canon-adapted"
"es-ES","names","Color Grading","Gradación de color","18","19","adobe-exact"
"es-ES","names","Reverse Fisheye","Ojo de pez inverso","18","18","review-required"
"es-ES","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"es-ES","names","3:2 DSLR","3:2 Réflex digital","18","19","review-required"
"es-ES","names","Zoom Blur","Desenfoque de zoom","18","18","review-required"
"es-ES","names","Peaking","Resalte de enfoque","18","18","canon-adapted"
"es-ES","names","Show Pins","Mostrar marcadores","18","18","review-required"
"es-ES","featureBlanks","117","Hacia cerca: medio","18","18","canon-adapted"
"fi-FI","names","Avatar-Drop","Kiinnitä avatariin","18","19","dictionary-candidate"
"fi-FI","names","Hide Lens","Piilota objektiivi","18","18","dictionary-candidate"
"fi-FI","names","Move HUD","Siirrä HUD-näyttöä","18","22","dictionary-candidate"
"fi-FI","names","Smoothing","Pehmennä seurantaa","18","19","review-required"
"fi-FI","names","EV Dial","Valotuksen korjaus","18","18","canon-exact"
"fi-FI","names","Move Focus","Siirrä tarkennusta","18","19","review-required"
"fi-FI","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"fi-FI","names","2.35:1 Anamorphic","2.35:1 Anamorfinen","18","18","review-required"
"fi-FI","names","Zone Softness","Vyöhykkeen pehmeys","18","19","dictionary-candidate"
"fi-FI","names","Player Visibility","Pelaajien näkyvyys","18","19","review-required"
"fi-FI","names","Smooth","Pisteinterpolointi","18","18","review-required"
"fi-FI","dynamic","WorldDrop","Kiinnitä maailmaan","18","19","dictionary-candidate"
"fi-FI","dynamic","ZoomOutSpeed4","Laajakulmanopeus 4","18","18","review-required"
"fi-FI","featureBlanks","100","Laajakulmanopeus 1","18","18","review-required"
"fi-FI","featureBlanks","101","Laajakulmanopeus 2","18","18","review-required"
"fi-FI","featureBlanks","102","Laajakulmanopeus 3","18","18","review-required"
"fr-FR","names","Look Up","Viser vers le haut","18","18","dictionary-candidate"
"fr-FR","names","Mount Swap","Changer de support","18","18","dictionary-candidate"
"fr-FR","names","Hide Lens","Masquer l'objectif","18","18","dictionary-candidate"
"fr-FR","names","Av Dial","Valeur d'ouverture","18","18","canon-adapted"
"fr-FR","names","Hand-Rotate","Rotation à la main","18","19","dictionary-candidate"
"fr-FR","names","Move Camera","Déplacer la caméra","18","20","dictionary-candidate"
"fr-FR","names","White Bal.","Balance des blancs","18","18","canon-exact"
"fr-FR","names","One-Shot AF","Autofocus One-Shot","18","18","canon-exact"
"fr-FR","names","Anamorphic Bokeh","Bokeh anamorphique","18","18","dictionary-candidate"
"fr-FR","names","Edge Softness","Contour progressif","18","18","dictionary-candidate"
"fr-FR","names","Y","Position verticale","18","18","dictionary-candidate"
"fr-FR","names","Letterbox","Bandes cinémascope","18","19","dictionary-candidate"
"fr-FR","names","2.39:1 Cinemascope","2.39:1 Cinémascope","18","19","dictionary-candidate"
"fr-FR","names","Zone Softness","Douceur de la zone","18","18","dictionary-candidate"
"fr-FR","names","Edge Feather","Contour progressif","18","18","dictionary-candidate"
"fr-FR","names","Show Path","Afficher le trajet","18","18","dictionary-candidate"
"fr-FR","names","Move","Déplacement manuel","18","19","review-required"
"fr-FR","dynamic","VignetteSoftness","Contour progressif","18","18","dictionary-candidate"
"fr-FR","dynamic","FisheyeCenterY","Position verticale","18","18","dictionary-candidate"
"fr-FR","sensorBlanks","0","Plein format 35 mm","18","18","dictionary-candidate"
"fr-FR","sensorBlanks","4","Micro quatre tiers","18","18","dictionary-candidate"
"hu-HU","names","Look At Feet","Lábfejre irányítás","18","22","review-required"
"hu-HU","names","Auto Focus","Automatikus fókusz","18","19","canon-adapted"
"hu-HU","names","Hide Lens","Objektív elrejtése","18","20","dictionary-candidate"
"hu-HU","names","Change Angle","Tájolás módosítása","18","23","review-required"
"hu-HU","names","X","Vízszintes helyzet","18","19","dictionary-candidate"
"hu-HU","names","Y","Függőleges helyzet","18","20","dictionary-candidate"
"hu-HU","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"hu-HU","names","Zoom Blur","Zoomos életlenítés","18","21","review-required"
"hu-HU","names","Playback","Lejátszási pozíció","18","22","review-required"
"hu-HU","dynamic","CameraPinDrop","Jelölő elhelyezése","18","21","review-required"
"hu-HU","dynamic","FisheyeCenterX","Vízszintes helyzet","18","19","dictionary-candidate"
"hu-HU","dynamic","FisheyeCenterY","Függőleges helyzet","18","20","dictionary-candidate"
"it-IT","names","Depth Cute","Profondità morbida","18","19","dictionary-candidate"
"it-IT","names","Look Up","Punta verso l'alto","18","18","dictionary-candidate"
"it-IT","names","Track Self...","Segui te stesso...","18","18","dictionary-candidate"
"it-IT","names","Hide Lens","Nascondi obiettivo","18","18","dictionary-candidate"
"it-IT","names","Av Dial","Valore di apertura","18","18","canon-adapted"
"it-IT","names","Drone Speed","Velocità del drone","18","19","dictionary-candidate"
"it-IT","names","Temperature","Temperatura colore","18","18","canon-exact"
"it-IT","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"it-IT","names","Center X","Centro orizzontale","18","18","dictionary-candidate"
"it-IT","names","Hide Self","Nascondi te stesso","18","18","dictionary-candidate"
"it-IT","names","Avatar Offset","Spostamento avatar","18","18","dictionary-candidate"
"it-IT","names","Rotate With Avatar","Ruota con l'avatar","18","18","dictionary-candidate"
"it-IT","names","Move","Sposta manualmente","18","18","dictionary-candidate"
"it-IT","names","Full","Tutte le direzioni","18","18","review-required"
"nb-NO","names","Move Pivot","Flytt dreiepunktet","18","18","dictionary-candidate"
"nb-NO","names","Drop Pivot","Plasser dreiepunkt","18","18","review-required"
"nb-NO","names","Pro Autofocus","Avansert autofokus","18","18","dictionary-candidate"
"nb-NO","names","Custom","Tilleggsfunksjoner","18","18","review-required"
"nb-NO","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"nb-NO","names","Manual Focus Assist","Manuell fokushjelp","18","18","review-required"
"nb-NO","names","Drop (Reset to Hand)","Tilbake til hånden","18","19","dictionary-candidate"
"nb-NO","names","Reset to Hand","Tilbake til hånden","18","19","dictionary-candidate"
"nb-NO","names","Smooth","Punktinterpolasjon","18","18","review-required"
"nb-NO","featureBlanks","120","Mot uendelig: lite","18","18","dictionary-candidate"
"nl-NL","names","Portrait","Staande oriëntatie","18","19","dictionary-candidate"
"nl-NL","names","Green Back","Groene achtergrond","18","18","dictionary-candidate"
"nl-NL","names","Blue Back","Blauwe achtergrond","18","18","dictionary-candidate"
"nl-NL","names","Look At Face","Op gezicht richten","18","18","dictionary-candidate"
"nl-NL","names","Move Camera","Camera verplaatsen","18","18","dictionary-candidate"
"nl-NL","names","Drop Pivot","Draaipunt plaatsen","18","18","dictionary-candidate"
"nl-NL","names","Edge Softness","Doezelaar van rand","18","18","dictionary-candidate"
"nl-NL","names","Reverse Fisheye","Omgekeerde fisheye","18","18","dictionary-candidate"
"nl-NL","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","dictionary-candidate"
"nl-NL","names","Center X","Horizontaal midden","18","18","dictionary-candidate"
"nl-NL","names","Edge Feather","Doezelaar van rand","18","18","dictionary-candidate"
"nl-NL","names","Avatar Offset","Avatarverschuiving","18","18","review-required"
"nl-NL","dynamic","CameraPinDrop","Markering plaatsen","18","18","dictionary-candidate"
"nl-NL","dynamic","VignetteSoftness","Doezelaar van rand","18","18","dictionary-candidate"
"nn-NO","names","Move Pivot","Flytt dreiepunktet","18","18","review-required"
"nn-NO","names","Drop Pivot","Plasser dreiepunkt","18","18","review-required"
"nn-NO","names","Pro Autofocus","Avansert autofokus","18","18","review-required"
"nn-NO","names","One-Shot AF","Einskots autofokus","18","18","review-required"
"nn-NO","names","Custom","Tilleggsfunksjonar","18","18","review-required"
"nn-NO","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"nn-NO","names","Manual Focus Assist","Manuell fokushjelp","18","18","review-required"
"nn-NO","names","Playback","Avspelingsposisjon","18","18","review-required"
"nn-NO","names","Smooth","Punktinterpolasjon","18","18","review-required"
"nn-NO","featureBlanks","120","Mot uendeleg: lite","18","18","review-required"
"pl-PL","names","Portrait","Orientacja pionowa","18","18","review-required"
"pl-PL","names","Track Pivot","Śledź punkt obrotu","18","20","review-required"
"pl-PL","names","EV Dial","Korekta ekspozycji","18","18","canon-exact"
"pl-PL","names","Focus Guide","Asystent ostrzenia","18","18","canon-exact"
"pl-PL","names","Anamorphic Bokeh","Anamorficzny bokeh","18","18","review-required"
"pl-PL","names","Edge Softness","Wtapianie krawędzi","18","19","review-required"
"pl-PL","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","review-required"
"pl-PL","names","Edge Feather","Wtapianie krawędzi","18","19","review-required"
"pl-PL","names","Rotate With Avatar","Obracaj z awatarem","18","18","review-required"
"pl-PL","names","Hand Offset","Przesunięcie dłoni","18","20","review-required"
"pl-PL","names","Full","Wszystkie kierunki","18","18","review-required"
"pl-PL","dynamic","VignetteSoftness","Wtapianie krawędzi","18","19","review-required"
"pl-PL","sensorBlanks","0","Pełna klatka 35 mm","18","19","review-required"
"pt-PT","names","Depth Cute","Profundidade suave","18","18","dictionary-candidate"
"pt-PT","names","Look Down","Apontar para baixo","18","18","dictionary-candidate"
"pt-PT","names","Auto Focus","Focagem automática","18","19","canon-adapted"
"pt-PT","names","Increase","Fechar o diafragma","18","18","canon-adapted"
"pt-PT","names","Change Angle","Alterar orientação","18","20","dictionary-candidate"
"pt-PT","names","White Bal.","Balanço de Brancos","18","19","canon-exact"
"pt-PT","names","Custom","Funções adicionais","18","20","dictionary-candidate"
"pt-PT","names","Temperature","Temperatura da Cor","18","18","canon-exact"
"pt-PT","names","X","Posição horizontal","18","20","dictionary-candidate"
"pt-PT","names","2.39:1 Cinemascope","2.39:1 Cinemascope","18","18","dictionary-candidate"
"pt-PT","names","3:2 DSLR","3:2 Reflex digital","18","18","dictionary-candidate"
"pt-PT","names","Rotate With Avatar","Rodar com o avatar","18","18","dictionary-candidate"
"pt-PT","names","Show Pins","Mostrar marcadores","18","18","dictionary-candidate"
"pt-PT","names","Go To Pin","Ir para o marcador","18","18","dictionary-candidate"
"pt-PT","dynamic","FisheyeCenterX","Posição horizontal","18","20","dictionary-candidate"
"ro-RO","names","Manual Focus","Focalizare manuală","18","19","canon-exact"
"ro-RO","names","Hide Lens","Ascundere obiectiv","18","18","dictionary-candidate"
